title,speaker,classification,informative,persuasive,descriptive,entertaining,ceremonial
Eighth Annual Message to Congress,George Washington,Persuasive,0.6882321238517761,0.7473345994949341,0.7246748805046082,0.44504594802856445,0.4314303994178772
Declaration of Independence Anniversary Commemoration,Calvin Coolidge,Persuasive,0.7034996151924133,0.7708178758621216,0.7091366052627563,0.4645934998989105,0.4356779456138611
Address on the Nuclear Test Ban Treaty,John F. Kennedy,Persuasive,0.7032520174980164,0.7680342793464661,0.6975082159042358,0.46245402097702026,0.4081299901008606
Inaugural Address,Donald Trump,Persuasive,0.6646428108215332,0.731931209564209,0.6567404270172119,0.485499769449234,0.4005660116672516
Gettysburg Address,Abraham Lincoln,Persuasive,0.6858447194099426,0.7594536542892456,0.6551123857498169,0.48595258593559265,0.40762296319007874
Address to Congress,Woodrow Wilson,Persuasive,0.68805330991745,0.7552849054336548,0.6531911492347717,0.48054808378219604,0.41040340065956116
I have a dream,Martin Luther King Jr.,Persuasive,0.6396432518959045,0.7068483233451843,0.6274329423904419,0.4674874544143677,0.43166548013687134
Woman?s Rights to the Suffrage,Susan B Anthony,Persuasive,0.707705020904541,0.7739762663841248,0.6843118667602539,0.45795938372612,0.4202217757701874
Martial Law Units,Deng Xiaoping,Persuasive,0.6844227313995361,0.7627800703048706,0.6816856861114502,0.5020921230316162,0.40996110439300537
Quit India,Mahatma Gandhi,Persuasive,0.6571123600006104,0.732365608215332,0.5950798392295837,0.4322018623352051,0.3981392979621887
You?ve got to find what you love,Steve Jobs,Persuasive,0.6175738573074341,0.6912535429000854,0.5888340473175049,0.47194284200668335,0.3891834318637848
"The Fringe Benefits of Failure, and the Importance of Imagination",J.K. Rowling,Persuasive,0.6560717225074768,0.7318190932273865,0.6318740248680115,0.49116235971450806,0.4021938741207123
The Ballot or The Bullet,Malcolm X,Persuasive,0.6845952272415161,0.7472962737083435,0.6886586546897888,0.44790157675743103,0.41650018095970154
Commencement Speech Transcript 2014 at Maharishi University of Management,Jim Carrey,Persuasive,0.6222293376922607,0.69965660572052,0.5740938782691956,0.4836594760417938,0.3662877082824707
Ellen DeGeneres? Commencement Address at Tulane University,Ellen DeGeneres,Persuasive,0.5768800377845764,0.6518517732620239,0.5218673348426819,0.45038267970085144,0.3538483679294586
Tryst with Destiny,Jawaharlal Nehru,Ceremonial,0.6772876977920532,0.7509328722953796,0.6703622937202454,0.48531803488731384,0.41518929600715637
Dandi March Speech,Mahatma Gandhi,Ceremonial,0.6922415494918823,0.7533376812934875,0.6416292190551758,0.4638913571834564,0.39938682317733765
First anniversary of the formation of the Home Rule League,Bal Gangadhar Tilak,Ceremonial,0.702229380607605,0.7679396867752075,0.6406380534172058,0.4795794188976288,0.3974355161190033
Africa and Its Position in the World Today,Nelson Mandela,Ceremonial,0.6836895942687988,0.7597470283508301,0.7007496356964111,0.4784678816795349,0.42331793904304504
WE SHALL FIGHT ON THE BEACHES,Winston Churchill,Ceremonial,0.6657633781433105,0.7323135137557983,0.684135913848877,0.45324715971946716,0.4302571415901184
Best Supporting Actress Oscars Award Acceptance Speech,Ariana DeBose,Ceremonial,0.5569617748260498,0.635859489440918,0.49086877703666687,0.4794365465641022,0.33962875604629517
Best Supporting Actress Oscars Award Acceptance Speech,Lupita Nyong'o,Ceremonial,0.5858836770057678,0.6626525521278381,0.5650099515914917,0.518092691898346,0.3797575533390045
